LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC000014,2012-10-15,0.10800000000000001,0.11836,0.445,25,0.08175669187697523,2.959,0.013000000000000001
MAC000014,2012-10-16,0.089,0.10781250000000003,0.7170000000000001,48,0.11485896184896188,5.175000000000002,0.013000000000000001
MAC000014,2012-10-17,0.037000000000000005,0.08895833333333335,0.7120000000000001,48,0.14347984636197775,4.2700000000000005,0.013999999999999999
MAC000014,2012-10-18,0.0895,0.15183333333333338,1.3880000000000001,48,0.23637396743776484,7.288000000000002,0.013999999999999999
MAC000014,2012-10-19,0.044000000000000004,0.08449999999999996,0.742,48,0.11340925700518491,4.055999999999998,0.015
MAC000014,2012-10-20,0.053000000000000005,0.10806249999999999,1.03,48,0.1844455067135237,5.186999999999999,0.013999999999999999
MAC000014,2012-10-21,0.07250000000000001,0.1299375,1.044,48,0.17856560940366462,6.237000000000001,0.013999999999999999
MAC000014,2012-10-22,0.0905,0.13483333333333333,1.003,48,0.17592277480484284,6.472,0.025
MAC000014,2012-10-23,0.0455,0.11149999999999999,0.868,48,0.174608741951706,5.351999999999999,0.013999999999999999
MAC000014,2012-10-24,0.08549999999999999,0.11589583333333336,0.8270000000000001,48,0.1332232552032503,5.5630000000000015,0.021
MAC000014,2012-10-25,0.0635,0.09833333333333333,0.48200000000000004,48,0.10220636890121688,4.72,0.016
MAC000014,2012-10-26,0.044000000000000004,0.08556250000000003,0.8240000000000001,48,0.12064047277018092,4.107000000000001,0.016
MAC000014,2012-10-27,0.078,0.14849999999999997,1.169,48,0.21554956975432962,7.127999999999998,0.013999999999999999
MAC000014,2012-10-28,0.059,0.11514583333333332,1.1179999999999999,48,0.18224416513828456,5.526999999999999,0.013999999999999999
MAC000014,2012-10-29,0.039,0.11881249999999993,1.165,48,0.21314640421001607,5.702999999999997,0.015
MAC000014,2012-10-30,0.0975,0.13212500000000002,0.727,48,0.14132829217892914,6.3420000000000005,0.016
MAC000014,2012-10-31,0.08249999999999999,0.12041666666666669,0.8909999999999999,48,0.16414755081851304,5.780000000000001,0.015
