LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC000068,2011-12-09,0.72,0.7730476238095237,1.916,21,0.4272922323639548,16.2340001,0.0
MAC000068,2011-12-10,0.5345,0.5253749979166668,1.197,48,0.3311122814983503,25.217999900000002,0.07
MAC000068,2011-12-11,0.672,0.6039333333333334,1.4509999999999998,45,0.31536770746081616,27.177000000000003,0.05
MAC000068,2011-12-12,0.46699999999999997,0.5294999979166668,1.3789999,48,0.338072629427591,25.415999900000006,0.061
MAC000068,2011-12-13,0.535,0.5514583333333333,1.837,48,0.3947280754470086,26.47,0.045
MAC000068,2011-12-14,0.522,0.6448723382978724,2.217,47,0.4628474019967627,30.3089999,0.086
MAC000068,2011-12-15,0.5434999999999999,0.5709166666666666,1.567,48,0.36321559354901545,27.404,0.07200000000000001
MAC000068,2011-12-16,0.5,0.545875,1.212,48,0.30660485520298364,26.202,0.051
MAC000068,2011-12-17,0.477,0.5298958333333333,1.27,48,0.3362775727575603,25.435000000000002,0.063
MAC000068,2011-12-18,0.4405,0.49127083333333327,1.126,48,0.31249100367532917,23.580999999999996,0.057
MAC000068,2011-12-19,0.478,0.5502916666666666,1.3530000000000002,48,0.3327342533213757,26.413999999999998,0.057999999999999996
MAC000068,2011-12-20,0.513,0.5392083333333334,1.286,48,0.327052208619848,25.882,0.073
MAC000068,2011-12-21,0.567,0.6327916625000001,1.76,48,0.39678623166914323,30.373999800000004,0.1
MAC000068,2011-12-22,0.5569999999999999,0.5767916666666665,1.505,48,0.35798151374672565,27.685999999999993,0.069
MAC000068,2011-12-23,0.527,0.5579583375,1.6219999999999999,48,0.3288209164829194,26.7820002,0.069
MAC000068,2011-12-24,0.483,0.54133333125,1.464,48,0.34104715382260076,25.9839999,0.047
MAC000068,2011-12-25,0.48450000000000004,0.49935416666666654,1.465,48,0.30612891802368913,23.968999999999994,0.048
MAC000068,2011-12-26,0.4915,0.5136041666666668,1.704,48,0.31005213971842155,24.653000000000002,0.064
MAC000068,2011-12-27,0.5015000000000001,0.5044166666666666,1.423,48,0.317623879892577,24.211999999999996,0.059000000000000004
MAC000068,2011-12-28,0.5095000000000001,0.5597500041666665,1.6670001,48,0.357599720432206,26.868000199999994,0.062
MAC000068,2011-12-29,0.46399999999999997,0.55772916875,2.059,48,0.3769683539971719,26.771000100000002,0.053
MAC000068,2011-12-30,0.5305,0.5946875020833332,1.715,48,0.36978741510415836,28.545000099999996,0.062
MAC000068,2011-12-31,0.5075000000000001,0.5104375,1.324,48,0.2873638738788129,24.501,0.055
