LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC000184,2011-11-26,0.347,0.3495833333333334,0.518,24,0.09267799169666731,8.390000000000002,0.10800000000000001
MAC000184,2011-11-27,0.1375,0.14441666666666667,0.294,48,0.052273761097617416,6.9319999999999995,0.076
MAC000184,2011-11-28,0.228,0.23218750000000007,0.695,48,0.1334031892581857,11.145000000000003,0.09
MAC000184,2011-11-29,0.16,0.18610416666666663,0.961,48,0.12841376601213142,8.932999999999998,0.08900000000000001
MAC000184,2011-11-30,0.115,0.14677083333333338,0.611,48,0.09815212673329857,7.045000000000002,0.07200000000000001
MAC000184,2011-12-01,0.1525,0.1822916666666667,0.535,48,0.1070529712454646,8.750000000000002,0.075
MAC000184,2011-12-02,0.196,0.2614166666666667,0.8420000000000001,48,0.1629474309347249,12.548,0.129
MAC000184,2011-12-03,0.183,0.23331250000000003,0.75,48,0.14260854861577507,11.199000000000002,0.099
MAC000184,2011-12-04,0.296,0.27795833333333336,0.5920000000000001,48,0.11784753192214864,13.342,0.08800000000000001
MAC000184,2011-12-05,0.21600000000000003,0.2174791666666667,0.409,48,0.06712737640575986,10.439000000000002,0.11599999999999999
MAC000184,2011-12-06,0.162,0.20735416666666664,0.541,48,0.1294133226038799,9.953,0.065
MAC000184,2011-12-07,0.14950000000000002,0.2047083333333333,0.486,48,0.1239697901315003,9.825999999999999,0.081
MAC000184,2011-12-08,0.1435,0.19664583333333333,0.727,48,0.12427397488345393,9.439,0.08800000000000001
MAC000184,2011-12-09,0.127,0.13864583333333333,0.265,48,0.042423643339350246,6.654999999999999,0.078
MAC000184,2011-12-10,0.2305,0.26431249999999995,0.778,48,0.10898607294395318,12.686999999999998,0.109
MAC000184,2011-12-11,0.3255,0.3717708333333334,1.063,48,0.20432142383408708,17.845000000000002,0.107
MAC000184,2011-12-12,0.29000000000000004,0.32197916666666676,0.809,48,0.12031492180025476,15.455000000000005,0.203
MAC000184,2011-12-13,0.152,0.18350000000000002,0.306,48,0.08278888814327681,8.808000000000002,0.066
MAC000184,2011-12-14,0.131,0.16293750000000004,0.691,48,0.11038971703768233,7.821000000000002,0.063
MAC000184,2011-12-15,0.1345,0.14491666666666664,0.336,48,0.06434310733087818,6.955999999999999,0.062
MAC000184,2011-12-16,0.077,0.07914583333333335,0.114,48,0.014093894231543284,3.7990000000000004,0.062
MAC000184,2011-12-17,0.07400000000000001,0.07631250000000002,0.106,48,0.012507285111128785,3.6630000000000007,0.061
MAC000184,2011-12-18,0.075,0.07654166666666672,0.11699999999999999,48,0.01419163423533398,3.674000000000002,0.062
